id,ticket_id,priority,status,category,subject,description,created_date,resolved_date,assigned_to,created_at
1,97bb2953,Low,Resolved,Hardware,Software install request,Hardware - Software install request. Priority: Low.,3/25/2024,,Carol,2024-03-25T01:08:00
2,fe47db58,Critical,In Progress,Software,Computer slow,Critical priority: Computer slow (Software).,4/1/2024,,Grace,2024-04-01T19:05:00
3,88e20022,Medium,Resolved,Hardware,VPN problem,Hardware - VPN problem. Priority: Medium.,1/22/2024,1/30/2024,Alice,2024-01-22T17:30:00
4,456d5d2a,Medium,Closed,Security,Login issue,Medium priority: Login issue (Security).,7/11/2024,7/15/2024,Bob,2024-07-11T19:41:00
5,7b796e92,Low,Resolved,Security,Computer slow,Security issue: Computer slow — see ticket 7b796e92.,4/4/2024,4/8/2024,Frank,2024-04-04T22:58:00
6,b0b695be,Low,Closed,Access,Computer slow,Computer slow reported; Carol handling; Low.,3/2/2024,,Carol,2024-03-02T05:27:00
7,ada720c7,Low,Open,Security,Software install request,Software install request — Security ticket assigned to Alice.,3/16/2024,3/22/2024,Alice,2024-03-16T21:06:00
8,7df294ef,Critical,Resolved,Software,Login issue,Alice to resolve Login issue in Software.,3/19/2024,3/24/2024,Alice,2024-03-19T06:14:00
9,5785b1a6,Medium,Open,Access,Login issue,David to resolve Login issue in Access.,9/19/2024,9/28/2024,David,2024-09-19T13:06:00
10,22b8630f,High,Closed,Software,VPN problem,Software - VPN problem. Priority: High.,5/25/2024,5/25/2024,Frank,2024-05-25T07:59:00
11,918e9ed0,Medium,In Progress,Hardware,Computer slow,Computer slow reported; Grace handling; Medium.,6/27/2024,7/1/2024,Grace,2024-06-27T00:59:00
12,b86ff979,Medium,Closed,Security,VPN problem,Security issue: VPN problem — see ticket b86ff979.,1/3/2024,1/7/2024,Carol,2024-01-03T15:33:00
13,f751ebe2,Low,Closed,Access,Email not working,Email not working (Access) — ticket f751ebe2.,1/21/2024,1/24/2024,David,2024-01-21T08:53:00
14,9262a32b,Critical,Closed,Network,Login issue,Network - Login issue. Priority: Critical.,8/6/2024,,Grace,2024-08-06T04:22:00
15,6f37ff6a,High,In Progress,Network,Email not working,Email not working reported; Frank handling; High.,7/10/2024,7/19/2024,Frank,2024-07-10T18:20:00
16,b4eb7791,High,Closed,Network,VPN problem,David to resolve VPN problem in Network.,9/23/2024,9/26/2024,David,2024-09-23T06:31:00
17,68851050,Medium,In Progress,Network,VPN problem,Help Grace with VPN problem (Network).,9/28/2024,10/7/2024,Grace,2024-09-28T01:03:00
18,1430b708,Critical,Resolved,Hardware,VPN problem,Hardware - VPN problem. Priority: Critical.,9/13/2024,9/17/2024,Carol,2024-09-13T00:12:00
19,32ab68d6,Low,In Progress,Software,Software install request,Software install request (Software) — ticket 32ab68d6.,10/22/2024,,Frank,2024-10-22T06:04:00
20,37bd6bb7,High,In Progress,Hardware,VPN problem,VPN problem; Hardware; assigned Bob.,10/11/2024,,Bob,2024-10-11T19:47:00
21,9e62dd05,High,Closed,Network,VPN problem,VPN problem — Network ticket assigned to Alice.,9/5/2024,9/13/2024,Alice,2024-09-05T21:08:00
22,9871f4c5,Critical,Open,Access,VPN problem,Access issue: VPN problem — see ticket 9871f4c5.,7/22/2024,,Frank,2024-07-22T11:57:00
23,e5ac809d,Medium,Open,Network,VPN problem,Medium priority: VPN problem (Network).,1/10/2024,,Grace,2024-01-10T21:15:00
24,046829f1,High,Resolved,Network,VPN problem,VPN problem (Network) — ticket 046829f1.,3/10/2024,,Grace,2024-03-10T13:43:00
25,75387a85,Critical,In Progress,Software,Software install request,Software - Software install request. Priority: Critical.,6/24/2024,6/26/2024,David,2024-06-24T15:40:00
26,551f27f2,Low,In Progress,Hardware,VPN problem,Hardware issue: VPN problem — see ticket 551f27f2.,3/27/2024,,Eve,2024-03-27T16:30:00
27,8e775ebb,Medium,Open,Security,Software install request,Software install request reported; Carol handling; Medium.,7/16/2024,7/23/2024,Carol,2024-07-16T14:01:00
28,b37762bd,Low,In Progress,Network,Email not working,Alice to resolve Email not working in Network.,2/24/2024,3/4/2024,Alice,2024-02-24T16:42:00
29,4463245d,High,In Progress,Security,Email not working,Email not working; Security; assigned Carol.,8/4/2024,8/9/2024,Carol,2024-08-04T21:26:00
30,bd7958f0,Medium,In Progress,Access,Email not working,Email not working reported; Carol handling; Medium.,5/24/2024,5/25/2024,Carol,2024-05-24T10:32:00
31,68667770,Medium,Closed,Software,Software install request,Eve to resolve Software install request in Software.,10/5/2024,10/16/2024,Eve,2024-10-05T20:57:00
32,ffcc1724,Low,Resolved,Software,Computer slow,Software - Computer slow. Priority: Low.,1/5/2024,,Frank,2024-01-05T19:55:00
33,b3921778,Low,Open,Software,Email not working,Software - Email not working. Priority: Low.,5/28/2024,6/2/2024,Frank,2024-05-28T20:15:00
34,6c31330b,Medium,Open,Security,Email not working,Email not working (Security) — ticket 6c31330b.,8/3/2024,8/4/2024,Alice,2024-08-03T02:16:00
35,85acd9f2,Medium,Closed,Security,Email not working,Email not working (Security) — ticket 85acd9f2.,2/25/2024,,Alice,2024-02-25T06:04:00
36,00a7d32a,High,In Progress,Security,Login issue,Carol to resolve Login issue in Security.,10/18/2024,,Carol,2024-10-18T11:39:00
37,4b591d36,Critical,In Progress,Hardware,Login issue,Hardware - Login issue. Priority: Critical.,5/15/2024,5/16/2024,Carol,2024-05-15T14:15:00
38,773524f2,High,Open,Hardware,Software install request,High - Software install request. Assigned: Bob.,3/30/2024,3/31/2024,Bob,2024-03-30T16:01:00
39,32c10da2,Medium,Open,Software,VPN problem,Alice to resolve VPN problem in Software.,5/2/2024,,Alice,2024-05-02T21:02:00
40,44e4b1c9,Low,Closed,Security,Computer slow,Computer slow; Security; assigned Bob.,6/7/2024,6/16/2024,Bob,2024-06-07T20:07:00
41,6e9afb4b,Low,Resolved,Network,VPN problem,VPN problem; Network; assigned Eve.,10/23/2024,11/1/2024,Eve,2024-10-23T03:24:00
42,a148bb5b,Low,Resolved,Hardware,Login issue,Low priority: Login issue (Hardware).,6/24/2024,6/27/2024,David,2024-06-24T09:55:00
43,45a0fe86,Medium,Open,Network,Computer slow,Medium priority: Computer slow (Network).,1/14/2024,,David,2024-01-14T10:40:00
44,7cd2672e,Low,Closed,Access,Login issue,Access - Login issue. Priority: Low.,1/19/2024,,David,2024-01-19T18:53:00
45,49fbdac2,Critical,Closed,Security,Login issue,Login issue (Security) — ticket 49fbdac2.,8/4/2024,8/7/2024,Alice,2024-08-04T03:57:00
46,9d76bf6d,Low,Closed,Software,Computer slow,Bob to resolve Computer slow in Software.,5/10/2024,,Bob,2024-05-10T16:08:00
47,18e2f072,Medium,Closed,Security,Software install request,Help Alice with Software install request (Security).,8/20/2024,8/31/2024,Alice,2024-08-20T10:15:00
48,08bad74c,Medium,Resolved,Access,Computer slow,Computer slow (Access) — ticket 08bad74c.,6/19/2024,,Alice,2024-06-19T03:06:00
49,5de4f447,Critical,Closed,Access,Login issue,Access issue: Login issue — see ticket 5de4f447.,10/6/2024,10/14/2024,Grace,2024-10-06T14:06:00
50,48ea9d46,Medium,Open,Access,Login issue,Login issue — Access ticket assigned to Carol.,3/20/2024,3/26/2024,Carol,2024-03-20T04:26:00
